profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
overload,return,180,2,153,27,24,41,67.37,0.204,sustainable,5918.7,543.0
optimizer,return,180,2,166,14,14,23,4.06,0.197,integrated,5059.68,498.0
low_energy,return,180,2,92,88,45,28,0,0.239,returning,842.72,92.0
adversarial,return,180,2,116,64,40,39,68.84,0.194,sustainable,5849.7,527.0
perfect,lost,30,3,30,0,0,4,1.62,0.233,open,600.0,60.0
cautious,lost,30,3,21,9,6,3,0,0.286,returning,196.56,21.0
balanced,lost,30,3,20,10,7,4,0.52,0.35,returning,392.0,40.0
chaotic,lost,30,3,19,11,7,2,4.0,0.263,returning,590.52,57.0
high_skip,lost,30,3,10,20,9,2,0,0.4,returning,94.4,10.0
returning,lost,30,3,15,15,6,3,0,0.233,returning,289.2,30.0
overload,lost,30,3,25,5,5,3,64.85,0.26,returning,1090.0,100.0
optimizer,lost,30,3,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,lost,30,3,11,19,7,4,0,0.364,returning,100.76,11.0
adversarial,lost,30,3,21,9,8,4,65.57,0.238,returning,1165.5,105.0
perfect,burnout,30,3,29,1,1,4,1.62,0.224,open,580.0,58.0
cautious,burnout,30,3,18,12,6,3,0,0.278,returning,168.48,18.0
balanced,burnout,30,3,26,4,3,4,1.04,0.231,open,509.6,52.0
chaotic,burnout,30,3,13,17,9,2,4.0,0.282,returning,404.04,39.0
high_skip,burnout,30,3,7,23,5,1,0,0.286,returning,66.08,7.0
returning,burnout,30,3,19,11,6,2,0,0.211,returning,366.32,38.0
overload,burnout,30,3,28,2,2,4,76.98,0.211,overloaded,1188.1,109.0
optimizer,burnout,30,3,29,1,1,4,9.21,0.184,open,883.92,87.0
low_energy,burnout,30,3,13,17,9,3,0,0.308,returning,119.08,13.0
adversarial,burnout,30,3,22,8,8,4,75.97,0.198,returning,1176.6,106.0
perfect,potential,30,3,29,1,1,4,1.62,0.224,open,580.0,58.0
cautious,potential,30,3,20,10,6,3,0,0.2,returning,187.2,20.0
balanced,potential,30,3,24,6,5,1,1.04,0.271,returning,470.4,48.0
chaotic,potential,30,3,14,16,7,1,3.6,0.214,returning,435.12,42.0
high_skip,potential,30,3,9,21,7,2,0,0.333,returning,84.96,9.0
returning,potential,30,3,17,13,5,2,0,0.294,returning,327.76,34.0
overload,potential,30,3,26,4,4,4,60.28,0.192,returning,1133.6,104.0
optimizer,potential,30,3,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,potential,30,3,16,14,7,8,0,0.25,returning,146.56,16.0
adversarial,potential,30,3,22,8,5,4,72.58,0.193,returning,1209.9,109.0
perfect,return,30,3,30,0,0,4,1.62,0.2,open,600.0,60.0
cautious,return,30,3,22,8,7,2,0,0.318,returning,205.92,22.0
balanced,return,30,3,23,7,4,3,1.04,0.239,returning,450.8,46.0
chaotic,return,30,3,16,14,9,3,2.0,0.271,returning,497.28,48.0
high_skip,return,30,3,7,23,6,1,0,0.571,returning,66.08,7.0
returning,return,30,3,15,15,10,2,0,0.233,returning,289.2,30.0
overload,return,30,3,28,2,2,4,72.09,0.252,overloaded,1209.9,111.0
optimizer,return,30,3,28,2,2,4,3.13,0.19,open,853.44,84.0
low_energy,return,30,3,14,16,7,6,0,0.286,returning,128.24,14.0
adversarial,return,30,3,23,7,5,5,67.39,0.205,returning,1243.2,112.0
perfect,lost,90,3,89,1,1,12,3.25,0.197,open,1780.0,178.0
cautious,lost,90,3,49,41,22,8,0,0.245,returning,458.64,49.0
balanced,lost,90,3,72,18,17,11,2.61,0.229,returning,1411.2,144.0
chaotic,lost,90,3,51,39,17,7,0,0.222,sustainable,1585.08,153.0
high_skip,lost,90,3,18,72,16,3,0,0.333,returning,169.92,18.0
returning,lost,90,3,49,41,27,4,0.58,0.214,returning,944.72,98.0
overload,lost,90,3,80,10,7,19,77.91,0.183,returning,3150.1,289.0
optimizer,lost,90,3,88,2,2,12,9.4,0.193,sustainable,2682.24,264.0
low_energy,lost,90,3,47,43,19,18,0,0.191,returning,430.52,47.0
adversarial,lost,90,3,61,29,22,19,69.59,0.174,sustainable,3130.2,282.0
perfect,burnout,90,3,87,3,3,12,4.87,0.213,open,1740.0,174.0
cautious,burnout,90,3,67,23,16,8,0,0.284,returning,627.12,67.0
balanced,burnout,90,3,72,18,18,10,0.52,0.208,returning,1411.2,144.0
chaotic,burnout,90,3,41,49,17,7,0,0.22,returning,1274.28,123.0
high_skip,burnout,90,3,26,64,19,3,0,0.308,returning,245.44,26.0
returning,burnout,90,3,57,33,21,7,0.58,0.184,returning,1098.96,114.0
overload,burnout,90,3,75,15,14,17,76.85,0.185,returning,2953.9,271.0
optimizer,burnout,90,3,87,3,3,12,7.64,0.192,sustainable,2651.76,261.0
low_energy,burnout,90,3,32,58,25,8,0,0.219,returning,293.12,32.0
adversarial,burnout,90,3,61,29,22,19,76.59,0.216,returning,3130.2,282.0
perfect,potential,90,3,89,1,1,12,4.87,0.197,sustainable,1780.0,178.0
cautious,potential,90,3,52,38,20,9,0,0.231,returning,486.72,52.0
balanced,potential,90,3,70,20,14,8,0,0.193,returning,1372.0,140.0
chaotic,potential,90,3,49,41,21,5,4.0,0.211,sustainable,1522.92,147.0
high_skip,potential,90,3,18,72,15,4,0,0.333,returning,169.92,18.0
returning,potential,90,3,52,38,24,4,0.29,0.24,returning,1002.56,104.0
overload,potential,90,3,80,10,10,19,76.85,0.188,returning,3139.2,288.0
optimizer,potential,90,3,83,7,6,10,9.4,0.193,sustainable,2529.84,249.0
low_energy,potential,90,3,45,45,22,18,0,0.311,returning,412.2,45.0
adversarial,potential,90,3,72,18,15,26,74.56,0.221,returning,3663.0,330.0
perfect,return,90,3,90,0,0,12,4.87,0.217,sustainable,1800.0,180.0
cautious,return,90,3,54,36,18,10,0,0.259,returning,505.44,54.0
balanced,return,90,3,68,22,18,8,1.57,0.199,returning,1332.8,136.0
chaotic,return,90,3,44,46,25,6,6.0,0.205,returning,1367.52,132.0
high_skip,return,90,3,23,67,16,5,0,0.304,returning,217.12,23.0
returning,return,90,3,44,46,21,6,0.58,0.239,returning,848.32,88.0
overload,return,90,3,78,12,11,19,73.51,0.235,returning,3150.1,289.0
optimizer,return,90,3,84,6,5,11,9.4,0.194,sustainable,2560.32,252.0
low_energy,return,90,3,45,45,22,14,0,0.222,returning,412.2,45.0
adversarial,return,90,3,62,28,20,20,70.42,0.207,returning,3219.0,290.0
perfect,lost,180,3,180,0,0,25,4.06,0.192,integrated,3600.0,360.0
cautious,lost,180,3,115,65,39,14,0,0.226,returning,1076.4,115.0
balanced,lost,180,3,139,41,30,19,1.04,0.201,sustainable,2724.4,278.0
chaotic,lost,180,3,98,82,44,15,6.0,0.197,integrated,3045.84,294.0
high_skip,lost,180,3,52,128,34,4,0,0.212,returning,490.88,52.0
returning,lost,180,3,101,79,38,15,0,0.223,sustainable,1947.28,202.0
overload,lost,180,3,167,13,13,48,68.8,0.185,sustainable,6409.2,588.0
optimizer,lost,180,3,173,7,7,23,10.88,0.197,integrated,5273.04,519.0
low_energy,lost,180,3,84,96,42,27,0,0.202,returning,769.44,84.0
adversarial,lost,180,3,137,43,34,53,76.58,0.197,returning,6915.3,623.0
perfect,burnout,180,3,178,2,2,25,4.06,0.208,sustainable,3560.0,356.0
cautious,burnout,180,3,112,68,48,17,0,0.205,returning,1048.32,112.0
balanced,burnout,180,3,139,41,32,19,0,0.187,sustainable,2724.4,278.0
chaotic,burnout,180,3,96,84,50,13,2.0,0.188,sustainable,2983.68,288.0
high_skip,burnout,180,3,43,137,31,5,0,0.349,returning,405.92,43.0
returning,burnout,180,3,105,75,36,15,0,0.21,returning,2024.4,210.0
overload,burnout,180,3,164,16,14,46,73.2,0.186,returning,6223.9,571.0
optimizer,burnout,180,3,173,7,7,24,4.06,0.195,integrated,5273.04,519.0
low_energy,burnout,180,3,89,91,44,28,0,0.236,returning,815.24,89.0
adversarial,burnout,180,3,125,55,36,46,65.38,0.19,sustainable,6293.7,567.0
perfect,potential,180,3,178,2,2,25,4.06,0.211,integrated,3560.0,356.0
cautious,potential,180,3,105,75,44,15,0,0.219,returning,982.8,105.0
balanced,potential,180,3,146,34,28,19,0,0.199,sustainable,2861.6,292.0
chaotic,potential,180,3,102,78,43,8,6.0,0.18,integrated,3170.16,306.0
high_skip,potential,180,3,38,142,28,4,0,0.263,returning,358.72,38.0
returning,potential,180,3,100,80,50,10,0,0.195,sustainable,1928.0,200.0
overload,potential,180,3,160,20,18,44,77.29,0.2,returning,6202.1,569.0
optimizer,potential,180,3,166,14,14,21,22.11,0.197,integrated,5059.68,498.0
low_energy,potential,180,3,99,81,43,37,0,0.212,returning,906.84,99.0
adversarial,potential,180,3,133,47,31,50,75.31,0.181,returning,6693.3,603.0
perfect,return,180,3,179,1,1,25,4.06,0.184,integrated,3580.0,358.0
cautious,return,180,3,109,71,46,12,0,0.193,returning,1020.24,109.0
balanced,return,180,3,145,35,27,21,2.61,0.186,sustainable,2842.0,290.0
chaotic,return,180,3,84,96,45,10,5.8,0.19,sustainable,2610.72,252.0
high_skip,return,180,3,42,138,33,4,0,0.238,returning,396.48,42.0
returning,return,180,3,114,66,38,15,0,0.18,sustainable,2197.92,228.0
overload,return,180,3,150,30,26,39,69.0,0.194,sustainable,5777.0,530.0
optimizer,return,180,3,169,11,10,22,9.84,0.195,integrated,5151.12,507.0
low_energy,return,180,3,84,96,47,31,0,0.214,returning,769.44,84.0
adversarial,return,180,3,118,62,40,39,75.46,0.187,returning,5883.0,530.0
perfect,lost,30,4,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,lost,30,4,17,13,9,2,0,0.353,returning,159.12,17.0
balanced,lost,30,4,25,5,4,4,1.04,0.22,returning,490.0,50.0
chaotic,lost,30,4,17,13,8,2,2.0,0.255,returning,528.36,51.0
high_skip,lost,30,4,7,23,3,0,0,0.429,open,66.08,7.0
returning,lost,30,4,17,13,7,3,0,0.235,returning,327.76,34.0
overload,lost,30,4,26,4,1,4,59.23,0.194,open,1122.7,103.0
optimizer,lost,30,4,30,0,0,4,5.98,0.189,open,914.4,90.0
low_energy,lost,30,4,10,20,8,4,0,0.3,returning,91.6,10.0
adversarial,lost,30,4,22,8,5,5,60.38,0.204,returning,1198.8,108.0
perfect,burnout,30,4,29,1,1,3,4.3,0.241,open,580.0,58.0
cautious,burnout,30,4,21,9,6,4,0,0.286,returning,196.56,21.0
balanced,burnout,30,4,25,5,5,3,1.04,0.22,returning,490.0,50.0
chaotic,burnout,30,4,14,16,8,2,5.8,0.214,returning,435.12,42.0
high_skip,burnout,30,4,11,19,7,1,0,0.364,returning,103.84,11.0
returning,burnout,30,4,17,13,8,2,0,0.294,returning,327.76,34.0
overload,burnout,30,4,26,4,4,3,75.11,0.208,returning,1100.9,101.0
optimizer,burnout,30,4,29,1,1,4,9.21,0.184,open,883.92,87.0
low_energy,burnout,30,4,16,14,8,3,0,0.25,returning,146.56,16.0
adversarial,burnout,30,4,24,6,6,6,68.0,0.219,returning,1265.4,114.0
perfect,potential,30,4,30,0,0,4,1.62,0.233,open,600.0,60.0
cautious,potential,30,4,22,8,5,2,0,0.227,returning,205.92,22.0
balanced,potential,30,4,23,7,6,1,1.98,0.239,returning,450.8,46.0
chaotic,potential,30,4,16,14,9,3,2.0,0.229,returning,497.28,48.0
high_skip,potential,30,4,5,25,3,1,0,0.4,open,47.2,5.0
returning,potential,30,4,23,7,5,2,0,0.239,returning,443.44,46.0
overload,potential,30,4,26,4,4,2,76.99,0.222,returning,1079.1,99.0
optimizer,potential,30,4,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,potential,30,4,14,16,6,4,0,0.286,returning,128.24,14.0
adversarial,potential,30,4,16,14,9,3,38.63,0.212,returning,888.0,80.0
perfect,return,30,4,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,return,30,4,15,15,5,3,0,0.333,returning,140.4,15.0
balanced,return,30,4,28,2,2,4,1.04,0.25,open,548.8,56.0
chaotic,return,30,4,17,13,8,1,4.0,0.235,returning,528.36,51.0
high_skip,return,30,4,9,21,7,4,0,0.333,returning,84.96,9.0
returning,return,30,4,17,13,8,1,0.58,0.235,returning,327.76,34.0
overload,return,30,4,24,6,5,3,58.42,0.198,returning,1046.4,96.0
optimizer,return,30,4,28,2,1,3,9.45,0.179,open,853.44,84.0
low_energy,return,30,4,13,17,8,2,0,0.308,returning,119.08,13.0
adversarial,return,30,4,21,9,5,3,72.96,0.235,returning,1132.2,102.0
perfect,lost,90,4,88,2,2,12,4.87,0.216,open,1760.0,176.0
cautious,lost,90,4,57,33,20,6,0,0.211,returning,533.52,57.0
balanced,lost,90,4,68,22,17,8,3.13,0.199,returning,1332.8,136.0
chaotic,lost,90,4,53,37,19,6,3.8,0.208,sustainable,1647.24,159.0
high_skip,lost,90,4,24,66,18,5,0,0.333,returning,226.56,24.0
returning,lost,90,4,50,40,24,8,0.29,0.24,returning,964.0,100.0
overload,lost,90,4,81,9,9,20,68.05,0.184,sustainable,3139.2,288.0
optimizer,lost,90,4,83,7,7,10,7.83,0.193,sustainable,2529.84,249.0
low_energy,lost,90,4,46,44,23,14,0,0.217,returning,421.36,46.0
adversarial,lost,90,4,70,20,15,25,72.73,0.195,returning,3585.3,323.0
perfect,burnout,90,4,90,0,0,12,4.87,0.183,open,1800.0,180.0
cautious,burnout,90,4,52,38,23,4,0,0.212,returning,486.72,52.0
balanced,burnout,90,4,76,14,13,11,1.57,0.204,returning,1489.6,152.0
chaotic,burnout,90,4,37,53,19,1,4.0,0.225,returning,1149.96,111.0
high_skip,burnout,90,4,23,67,18,5,0,0.217,returning,217.12,23.0
returning,burnout,90,4,46,44,21,4,0.87,0.185,returning,886.88,92.0
overload,burnout,90,4,76,14,11,18,72.29,0.211,returning,2997.5,275.0
optimizer,burnout,90,4,83,7,7,12,3.13,0.193,sustainable,2529.84,249.0
low_energy,burnout,90,4,40,50,21,14,0,0.275,returning,366.4,40.0
adversarial,burnout,90,4,68,22,18,24,73.09,0.196,returning,3463.2,312.0
perfect,potential,90,4,88,2,2,10,4.87,0.205,sustainable,1760.0,176.0
cautious,potential,90,4,53,37,24,6,0,0.208,returning,496.08,53.0
balanced,potential,90,4,68,22,18,11,0.52,0.206,returning,1332.8,136.0
chaotic,potential,90,4,45,45,22,6,5.21,0.222,sustainable,1398.6,135.0
high_skip,potential,90,4,22,68,17,1,0,0.273,returning,207.68,22.0
returning,potential,90,4,55,35,23,7,0,0.209,returning,1060.4,110.0
overload,potential,90,4,82,8,8,21,67.72,0.189,sustainable,3226.4,296.0
optimizer,potential,90,4,81,9,7,11,6.26,0.198,sustainable,2468.88,243.0
low_energy,potential,90,4,45,45,20,19,0,0.2,returning,412.2,45.0
adversarial,potential,90,4,67,23,18,22,77.47,0.19,returning,3385.5,305.0
perfect,return,90,4,90,0,0,12,4.87,0.189,sustainable,1800.0,180.0
cautious,return,90,4,59,31,17,6,0,0.237,returning,552.24,59.0
balanced,return,90,4,67,23,16,8,0.52,0.231,returning,1313.2,134.0
chaotic,return,90,4,37,53,18,3,2.0,0.198,returning,1149.96,111.0
high_skip,return,90,4,15,75,14,2,0,0.333,returning,141.6,15.0
returning,return,90,4,55,35,20,8,1.45,0.236,returning,1060.4,110.0
overload,return,90,4,81,9,9,19,77.99,0.185,returning,3128.3,287.0
optimizer,return,90,4,87,3,2,11,11.64,0.192,sustainable,2651.76,261.0
low_energy,return,90,4,46,44,22,16,0,0.283,returning,421.36,46.0
adversarial,return,90,4,71,19,14,25,74.93,0.204,returning,3585.3,323.0
perfect,lost,180,4,178,2,2,23,6.73,0.188,integrated,3560.0,356.0
cautious,lost,180,4,99,81,43,16,0,0.232,returning,926.64,99.0
balanced,lost,180,4,144,36,27,19,2.61,0.215,sustainable,2822.4,288.0
chaotic,lost,180,4,84,96,48,15,2.0,0.194,sustainable,2610.72,252.0
high_skip,lost,180,4,52,128,37,10,0,0.25,returning,490.88,52.0
returning,lost,180,4,87,93,44,18,0.29,0.201,returning,1677.36,174.0
overload,lost,180,4,161,19,18,45,71.66,0.175,returning,6234.8,572.0
optimizer,lost,180,4,166,14,13,25,7.83,0.199,integrated,5059.68,498.0
low_energy,lost,180,4,85,95,42,30,0,0.282,returning,778.6,85.0
adversarial,lost,180,4,119,61,38,41,68.89,0.205,sustainable,6005.1,541.0
perfect,burnout,180,4,180,0,0,25,4.06,0.222,integrated,3600.0,360.0
cautious,burnout,180,4,113,67,42,12,0,0.221,returning,1057.68,113.0
balanced,burnout,180,4,137,43,33,18,2.61,0.186,sustainable,2685.2,274.0
chaotic,burnout,180,4,85,95,48,9,8.82,0.22,sustainable,2641.8,255.0
high_skip,burnout,180,4,39,141,31,2,0,0.282,returning,368.16,39.0
returning,burnout,180,4,97,83,51,14,1.16,0.191,returning,1870.16,194.0
overload,burnout,180,4,164,16,14,47,70.67,0.19,returning,6311.1,579.0
optimizer,burnout,180,4,164,16,15,22,15.03,0.197,integrated,4998.72,492.0
low_energy,burnout,180,4,83,97,45,31,0,0.241,returning,760.28,83.0
adversarial,burnout,180,4,145,35,32,59,69.89,0.178,sustainable,7248.3,653.0
perfect,potential,180,4,180,0,0,25,4.06,0.186,integrated,3600.0,360.0
cautious,potential,180,4,102,78,44,20,0,0.206,returning,954.72,102.0
balanced,potential,180,4,143,37,30,20,3.95,0.185,sustainable,2802.8,286.0
chaotic,potential,180,4,78,102,50,10,0,0.192,sustainable,2424.24,234.0
high_skip,potential,180,4,61,119,43,9,0,0.23,returning,575.84,61.0
returning,potential,180,4,104,76,43,16,0,0.226,sustainable,2005.12,208.0
overload,potential,180,4,157,23,20,42,69.4,0.19,sustainable,5962.3,547.0
optimizer,potential,180,4,167,13,11,24,7.83,0.198,integrated,5090.16,501.0
low_energy,potential,180,4,83,97,49,31,0,0.205,returning,760.28,83.0
adversarial,potential,180,4,132,48,35,50,71.91,0.183,returning,6682.2,602.0
perfect,return,180,4,179,1,1,25,4.06,0.201,integrated,3580.0,358.0
cautious,return,180,4,123,57,40,16,0,0.236,returning,1151.28,123.0
balanced,return,180,4,134,46,38,20,0.52,0.187,sustainable,2626.4,268.0
chaotic,return,180,4,90,90,46,11,3.8,0.189,sustainable,2797.2,270.0
high_skip,return,180,4,40,140,28,8,0,0.375,returning,377.6,40.0
returning,return,180,4,105,75,45,14,0,0.21,sustainable,2024.4,210.0
overload,return,180,4,165,15,12,46,72.64,0.198,returning,6267.5,575.0
optimizer,return,180,4,167,13,12,22,7.83,0.196,integrated,5090.16,501.0
low_energy,return,180,4,89,91,49,30,0,0.191,returning,815.24,89.0
adversarial,return,180,4,130,50,38,48,72.66,0.199,returning,6526.8,588.0
perfect,lost,30,5,29,1,1,4,1.62,0.241,open,580.0,58.0
cautious,lost,30,5,19,11,7,3,0,0.211,returning,177.84,19.0
balanced,lost,30,5,27,3,3,4,1.04,0.222,open,529.2,54.0
chaotic,lost,30,5,15,15,10,2,5.6,0.2,returning,466.2,45.0
high_skip,lost,30,5,12,18,6,2,0,0.333,returning,113.28,12.0
returning,lost,30,5,20,10,8,3,0,0.225,returning,385.6,40.0
overload,lost,30,5,27,3,3,4,66.72,0.204,open,1177.2,108.0
optimizer,lost,30,5,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,lost,30,5,16,14,7,7,0,0.312,returning,146.56,16.0
adversarial,lost,30,5,25,5,4,6,69.22,0.218,returning,1320.9,119.0
perfect,burnout,30,5,29,1,1,4,0.81,0.224,open,580.0,58.0
cautious,burnout,30,5,19,11,5,2,0,0.316,returning,177.84,19.0
balanced,burnout,30,5,24,6,5,3,1.04,0.25,returning,470.4,48.0
chaotic,burnout,30,5,17,13,5,4,0,0.216,returning,528.36,51.0
high_skip,burnout,30,5,3,27,3,0,0,0.667,open,28.32,3.0
returning,burnout,30,5,21,9,5,4,0.58,0.214,returning,404.88,42.0
overload,burnout,30,5,27,3,3,4,72.66,0.243,overloaded,1166.3,107.0
optimizer,burnout,30,5,29,1,1,4,9.21,0.184,open,883.92,87.0
low_energy,burnout,30,5,17,13,5,7,0,0.294,returning,155.72,17.0
adversarial,burnout,30,5,19,11,7,4,56.13,0.232,returning,1054.5,95.0
perfect,potential,30,5,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,potential,30,5,18,12,8,3,0,0.278,returning,168.48,18.0
balanced,potential,30,5,25,5,4,3,1.04,0.24,returning,490.0,50.0
chaotic,potential,30,5,16,14,8,3,2.0,0.208,returning,497.28,48.0
high_skip,potential,30,5,6,24,4,0,0,0.5,returning,56.64,6.0
returning,potential,30,5,20,10,6,3,0.58,0.3,returning,385.6,40.0
overload,potential,30,5,27,3,3,4,65.66,0.206,open,1166.3,107.0
optimizer,potential,30,5,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,potential,30,5,14,16,6,4,0,0.429,returning,128.24,14.0
adversarial,potential,30,5,19,11,6,3,63.73,0.189,returning,1054.5,95.0
perfect,return,30,5,29,1,1,4,1.62,0.224,open,580.0,58.0
cautious,return,30,5,18,12,7,2,0,0.389,returning,168.48,18.0
balanced,return,30,5,27,3,3,4,1.04,0.204,open,529.2,54.0
chaotic,return,30,5,14,16,7,1,0,0.262,returning,435.12,42.0
high_skip,return,30,5,7,23,6,0,0,0.429,returning,66.08,7.0
returning,return,30,5,20,10,7,2,0,0.35,returning,385.6,40.0
overload,return,30,5,25,5,5,3,64.85,0.21,returning,1090.0,100.0
optimizer,return,30,5,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,return,30,5,17,13,7,7,0,0.235,returning,155.72,17.0
adversarial,return,30,5,20,10,5,3,67.15,0.192,returning,1098.9,99.0
perfect,lost,90,5,90,0,0,12,4.87,0.217,open,1800.0,180.0
cautious,lost,90,5,54,36,25,6,0,0.241,returning,505.44,54.0
balanced,lost,90,5,73,17,14,11,1.57,0.212,returning,1430.8,146.0
chaotic,lost,90,5,43,47,22,6,9.61,0.186,returning,1336.44,129.0
high_skip,lost,90,5,27,63,17,3,0,0.296,returning,254.88,27.0
returning,lost,90,5,51,39,25,6,0,0.235,returning,983.28,102.0
overload,lost,90,5,86,4,4,22,76.1,0.186,returning,3335.4,306.0
optimizer,lost,90,5,84,6,6,12,9.4,0.194,sustainable,2560.32,252.0
low_energy,lost,90,5,49,41,21,18,0,0.224,returning,448.84,49.0
adversarial,lost,90,5,67,23,19,23,68.87,0.192,sustainable,3407.7,307.0
perfect,burnout,90,5,89,1,1,12,4.87,0.213,open,1780.0,178.0
cautious,burnout,90,5,53,37,24,8,0,0.264,returning,496.08,53.0
balanced,burnout,90,5,71,19,14,6,3.13,0.225,returning,1391.6,142.0
chaotic,burnout,90,5,46,44,22,9,0,0.196,returning,1429.68,138.0
high_skip,burnout,90,5,25,65,19,3,0,0.36,returning,236.0,25.0
returning,burnout,90,5,45,45,21,4,1.16,0.2,returning,867.6,90.0
overload,burnout,90,5,77,13,12,19,68.78,0.182,sustainable,3052.0,280.0
optimizer,burnout,90,5,85,5,5,10,22.11,0.188,sustainable,2590.8,255.0
low_energy,burnout,90,5,45,45,21,17,0,0.267,returning,412.2,45.0
adversarial,burnout,90,5,74,16,11,27,72.55,0.189,returning,3640.8,328.0
perfect,potential,90,5,88,2,2,11,4.87,0.188,sustainable,1760.0,176.0
cautious,potential,90,5,51,39,20,9,0,0.235,returning,477.36,51.0
balanced,potential,90,5,72,18,17,6,3.13,0.201,returning,1411.2,144.0
chaotic,potential,90,5,42,48,25,6,11.61,0.19,sustainable,1305.36,126.0
high_skip,potential,90,5,24,66,16,3,0,0.208,returning,226.56,24.0
returning,potential,90,5,53,37,20,8,0.29,0.245,returning,1021.84,106.0
overload,potential,90,5,78,12,10,18,73.2,0.188,returning,3019.3,277.0
optimizer,potential,90,5,85,5,5,11,12.67,0.192,sustainable,2590.8,255.0
low_energy,potential,90,5,39,51,25,14,0,0.256,returning,357.24,39.0
adversarial,potential,90,5,70,20,19,25,69.12,0.222,sustainable,3552.0,320.0
perfect,return,90,5,90,0,0,12,4.87,0.217,open,1800.0,180.0
cautious,return,90,5,50,40,24,5,0,0.2,returning,468.0,50.0
balanced,return,90,5,71,19,11,9,0,0.268,returning,1391.6,142.0
chaotic,return,90,5,48,42,24,2,2.0,0.201,returning,1491.84,144.0
high_skip,return,90,5,28,62,20,3,0,0.286,returning,264.32,28.0
returning,return,90,5,52,38,18,6,0,0.212,returning,1002.56,104.0
overload,return,90,5,85,5,5,22,72.84,0.193,returning,3324.5,305.0
optimizer,return,90,5,84,6,6,11,9.4,0.194,sustainable,2560.32,252.0
low_energy,return,90,5,46,44,20,15,0,0.217,returning,421.36,46.0
adversarial,return,90,5,67,23,16,23,74.89,0.186,returning,3463.2,312.0
perfect,lost,180,5,177,3,3,25,4.06,0.184,integrated,3540.0,354.0
cautious,lost,180,5,114,66,37,12,0,0.193,returning,1067.04,114.0
balanced,lost,180,5,139,41,34,21,1.04,0.212,sustainable,2724.4,278.0
chaotic,lost,180,5,88,92,45,14,0,0.186,sustainable,2735.04,264.0
high_skip,lost,180,5,44,136,33,7,0,0.205,returning,415.36,44.0
returning,lost,180,5,107,73,47,15,0,0.21,sustainable,2062.96,214.0
overload,lost,180,5,151,29,22,39,72.26,0.198,returning,5787.9,531.0
optimizer,lost,180,5,172,8,8,23,12.9,0.198,integrated,5242.56,516.0
low_energy,lost,180,5,86,94,43,29,0,0.186,returning,787.76,86.0
adversarial,lost,180,5,124,56,39,45,74.41,0.18,returning,6360.3,573.0
perfect,burnout,180,5,176,4,4,25,4.06,0.196,sustainable,3520.0,352.0
cautious,burnout,180,5,106,74,36,17,0,0.217,returning,992.16,106.0
balanced,burnout,180,5,139,41,30,19,1.04,0.209,sustainable,2724.4,278.0
chaotic,burnout,180,5,98,82,44,13,16.42,0.204,sustainable,3045.84,294.0
high_skip,burnout,180,5,46,134,37,7,0,0.239,returning,434.24,46.0
returning,burnout,180,5,122,58,45,14,0.29,0.184,sustainable,2352.16,244.0
overload,burnout,180,5,166,14,13,47,76.13,0.178,returning,6322.0,580.0
optimizer,burnout,180,5,173,7,7,24,7.83,0.195,integrated,5273.04,519.0
low_energy,burnout,180,5,81,99,44,26,0,0.198,returning,741.96,81.0
adversarial,burnout,180,5,131,49,38,49,73.27,0.178,returning,6549.0,590.0
perfect,potential,180,5,178,2,2,25,4.06,0.177,integrated,3560.0,356.0
cautious,potential,180,5,117,63,45,14,0,0.214,returning,1095.12,117.0
balanced,potential,180,5,143,37,28,19,1.04,0.189,sustainable,2802.8,286.0
chaotic,potential,180,5,92,88,45,9,2.0,0.203,integrated,2859.36,276.0
high_skip,potential,180,5,44,136,29,7,0,0.25,returning,415.36,44.0
returning,potential,180,5,101,79,44,13,0,0.203,sustainable,1947.28,202.0
overload,potential,180,5,162,18,17,44,76.39,0.186,returning,6147.6,564.0
optimizer,potential,180,5,172,8,8,24,7.83,0.196,integrated,5242.56,516.0
low_energy,potential,180,5,81,99,42,29,0,0.247,returning,741.96,81.0
adversarial,potential,180,5,129,51,40,47,69.42,0.204,sustainable,6415.8,578.0
perfect,return,180,5,177,3,3,25,4.06,0.189,integrated,3540.0,354.0
cautious,return,180,5,115,65,42,13,0,0.27,returning,1076.4,115.0
balanced,return,180,5,140,40,31,18,1.04,0.196,sustainable,2744.0,280.0
chaotic,return,180,5,98,82,38,12,2.0,0.224,sustainable,3045.84,294.0
high_skip,return,180,5,47,133,36,9,0,0.234,returning,443.68,47.0
returning,return,180,5,103,77,46,15,0,0.184,sustainable,1985.84,206.0
overload,return,180,5,166,14,11,47,70.19,0.188,returning,6332.9,581.0
optimizer,return,180,5,171,9,8,23,7.83,0.197,integrated,5212.08,513.0
low_energy,return,180,5,79,101,43,27,0,0.228,returning,723.64,79.0
