profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
balanced,return,90,0,66,24,16,8,1.57,0.197,returning,1293.6,132.0
chaotic,return,90,0,42,48,25,7,7.41,0.198,returning,1305.36,126.0
high_skip,return,90,0,20,70,14,2,0,0.3,returning,188.8,20.0
returning,return,90,0,59,31,20,8,0,0.195,returning,1137.52,118.0
overload,return,90,0,81,9,8,20,77.57,0.178,returning,3237.3,297.0
optimizer,return,90,0,86,4,4,11,9.4,0.194,sustainable,2621.28,258.0
low_energy,return,90,0,52,38,21,19,0,0.192,returning,476.32,52.0
adversarial,return,90,0,60,30,18,18,75.98,0.179,returning,3108.0,280.0
perfect,lost,180,0,176,4,4,25,4.06,0.168,integrated,3520.0,352.0
cautious,lost,180,0,125,55,39,18,0,0.2,returning,1170.0,125.0
balanced,lost,180,0,134,46,36,17,0,0.187,sustainable,2626.4,268.0
chaotic,lost,180,0,83,97,48,10,0,0.177,sustainable,2579.64,249.0
high_skip,lost,180,0,43,137,26,2,0,0.256,returning,405.92,43.0
returning,lost,180,0,94,86,45,14,0,0.197,returning,1812.32,188.0
overload,lost,180,0,155,25,21,41,76.0,0.176,returning,5962.3,547.0
optimizer,lost,180,0,168,12,11,25,7.83,0.198,integrated,5120.64,504.0
low_energy,lost,180,0,70,110,44,23,0,0.2,returning,641.2,70.0
adversarial,lost,180,0,131,49,36,49,75.89,0.172,returning,6637.8,598.0
perfect,burnout,180,0,177,3,3,23,4.06,0.169,sustainable,3540.0,354.0
cautious,burnout,180,0,126,54,36,18,0,0.183,returning,1179.36,126.0
balanced,burnout,180,0,137,43,33,20,2.61,0.179,sustainable,2685.2,274.0
chaotic,burnout,180,0,90,90,44,12,0,0.181,sustainable,2797.2,270.0
high_skip,burnout,180,0,39,141,34,6,0,0.231,returning,368.16,39.0
returning,burnout,180,0,111,69,42,16,0,0.198,returning,2140.08,222.0
overload,burnout,180,0,150,30,25,39,76.0,0.175,returning,5777.0,530.0
optimizer,burnout,180,0,172,8,7,24,0.3,0.194,integrated,5242.56,516.0
low_energy,burnout,180,0,85,95,42,31,0,0.188,returning,778.6,85.0
adversarial,burnout,180,0,119,61,41,41,73.49,0.178,returning,5982.9,539.0
perfect,potential,180,0,178,2,2,24,4.06,0.169,integrated,3560.0,356.0
cautious,potential,180,0,108,72,35,16,0,0.185,returning,1010.88,108.0
balanced,potential,180,0,141,39,31,21,2.61,0.188,sustainable,2763.6,282.0
chaotic,potential,180,0,93,87,45,16,4.0,0.176,integrated,2890.44,279.0
high_skip,potential,180,0,45,135,33,4,0,0.311,returning,424.8,45.0
returning,potential,180,0,99,81,43,12,0.58,0.182,sustainable,1908.72,198.0
overload,potential,180,0,164,16,15,46,67.26,0.171,sustainable,6234.8,572.0
optimizer,potential,180,0,172,8,8,22,21.88,0.198,integrated,5242.56,516.0
low_energy,potential,180,0,92,88,42,36,0,0.185,returning,842.72,92.0
adversarial,potential,180,0,127,53,36,45,74.99,0.178,returning,6304.8,568.0
perfect,return,180,0,179,1,1,25,4.06,0.168,integrated,3580.0,358.0
cautious,return,180,0,115,65,46,20,0,0.2,returning,1076.4,115.0
balanced,return,180,0,141,39,32,16,0.52,0.191,sustainable,2763.6,282.0
chaotic,return,180,0,97,83,39,17,0,0.175,integrated,3014.76,291.0
high_skip,return,180,0,53,127,40,7,0,0.245,returning,500.32,53.0
returning,return,180,0,100,80,48,11,0.29,0.18,sustainable,1928.0,200.0
overload,return,180,0,160,20,19,44,74.11,0.171,returning,6169.4,566.0
optimizer,return,180,0,171,9,9,25,7.83,0.197,integrated,5212.08,513.0
low_energy,return,180,0,88,92,48,28,0,0.205,returning,806.08,88.0
adversarial,return,180,0,126,54,36,45,76.4,0.173,returning,6338.1,571.0
perfect,lost,30,1,29,1,1,4,1.62,0.172,open,580.0,58.0
cautious,lost,30,1,20,10,5,4,0,0.2,returning,187.2,20.0
balanced,lost,30,1,25,5,4,4,0,0.18,returning,490.0,50.0
chaotic,lost,30,1,23,7,6,2,11.62,0.188,returning,714.84,69.0
high_skip,lost,30,1,9,21,6,2,0,0.333,returning,84.96,9.0
returning,lost,30,1,16,14,10,4,0.29,0.219,returning,308.48,32.0
overload,lost,30,1,25,5,4,3,64.85,0.19,returning,1090.0,100.0
optimizer,lost,30,1,27,3,2,4,0,0.198,open,822.96,81.0
low_energy,lost,30,1,13,17,10,5,0,0.308,returning,119.08,13.0
adversarial,lost,30,1,18,12,7,3,51.91,0.189,returning,999.0,90.0
perfect,burnout,30,1,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,burnout,30,1,19,11,7,2,0,0.263,returning,177.84,19.0
balanced,burnout,30,1,20,10,6,2,0.52,0.2,returning,392.0,40.0
chaotic,burnout,30,1,18,12,8,2,5.8,0.185,returning,559.44,54.0
high_skip,burnout,30,1,9,21,7,1,0,0.333,returning,84.96,9.0
returning,burnout,30,1,19,11,8,3,0,0.211,returning,366.32,38.0
overload,burnout,30,1,26,4,4,3,75.11,0.178,returning,1100.9,101.0
optimizer,burnout,30,1,27,3,3,4,3.13,0.198,open,822.96,81.0
low_energy,burnout,30,1,16,14,7,6,0,0.25,returning,146.56,16.0
adversarial,burnout,30,1,20,10,7,3,69.33,0.2,returning,1054.5,95.0
perfect,potential,30,1,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,potential,30,1,16,14,7,2,0,0.312,returning,149.76,16.0
balanced,potential,30,1,23,7,6,2,1.04,0.217,returning,450.8,46.0
chaotic,potential,30,1,13,17,8,1,0,0.205,returning,404.04,39.0
high_skip,potential,30,1,10,20,6,0,0,0.4,returning,94.4,10.0
returning,potential,30,1,20,10,8,3,0,0.2,returning,385.6,40.0
overload,potential,30,1,28,2,2,4,72.09,0.171,overloaded,1209.9,111.0
optimizer,potential,30,1,26,4,4,4,3.13,0.192,returning,792.48,78.0
low_energy,potential,30,1,15,15,7,1,0,0.2,returning,137.4,15.0
adversarial,potential,30,1,18,12,7,3,51.91,0.178,returning,999.0,90.0
perfect,return,30,1,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,return,30,1,18,12,8,1,0,0.222,returning,168.48,18.0
balanced,return,30,1,22,8,5,3,1.04,0.227,returning,431.2,44.0
chaotic,return,30,1,13,17,7,2,2.0,0.231,returning,404.04,39.0
high_skip,return,30,1,9,21,4,2,0,0.222,returning,84.96,9.0
returning,return,30,1,19,11,7,3,0,0.237,returning,366.32,38.0
overload,return,30,1,27,3,2,3,76.66,0.178,overloaded,1166.3,107.0
optimizer,return,30,1,27,3,2,4,3.13,0.198,open,822.96,81.0
low_energy,return,30,1,12,18,9,6,0,0.333,returning,109.92,12.0
adversarial,return,30,1,19,11,6,4,49.13,0.179,returning,1054.5,95.0
perfect,lost,90,1,89,1,1,12,4.87,0.169,open,1780.0,178.0
cautious,lost,90,1,58,32,23,7,0,0.224,returning,542.88,58.0
balanced,lost,90,1,66,24,18,9,0,0.189,returning,1293.6,132.0
chaotic,lost,90,1,46,44,25,7,0,0.196,returning,1429.68,138.0
high_skip,lost,90,1,21,69,15,4,0,0.238,returning,198.24,21.0
returning,lost,90,1,45,45,23,4,0,0.189,returning,867.6,90.0
overload,lost,90,1,81,9,7,20,71.22,0.186,returning,3171.9,291.0
optimizer,lost,90,1,84,6,4,11,9.4,0.194,sustainable,2560.32,252.0
low_energy,lost,90,1,48,42,24,22,0,0.208,returning,439.68,48.0
adversarial,lost,90,1,66,24,20,22,68.05,0.177,sustainable,3318.9,299.0
perfect,burnout,90,1,90,0,0,12,4.87,0.167,open,1800.0,180.0
cautious,burnout,90,1,55,35,20,6,0,0.218,returning,514.8,55.0
balanced,burnout,90,1,68,22,16,7,3.13,0.199,returning,1332.8,136.0
chaotic,burnout,90,1,40,50,19,7,3.6,0.2,returning,1243.2,120.0
high_skip,burnout,90,1,21,69,19,1,0,0.333,returning,198.24,21.0
returning,burnout,90,1,61,29,22,10,0.58,0.205,returning,1176.08,122.0
overload,burnout,90,1,83,7,5,21,77.97,0.172,returning,3237.3,297.0
optimizer,burnout,90,1,83,7,7,11,9.02,0.193,sustainable,2529.84,249.0
low_energy,burnout,90,1,45,45,20,17,0,0.2,returning,412.2,45.0
adversarial,burnout,90,1,64,26,18,22,67.04,0.186,sustainable,3285.6,296.0
perfect,potential,90,1,89,1,1,12,4.87,0.169,sustainable,1780.0,178.0
cautious,potential,90,1,52,38,21,7,0,0.212,returning,486.72,52.0
balanced,potential,90,1,73,17,13,9,0.52,0.178,returning,1430.8,146.0
chaotic,potential,90,1,45,45,19,5,2.0,0.178,sustainable,1398.6,135.0
high_skip,potential,90,1,19,71,15,1,0,0.316,returning,179.36,19.0
returning,potential,90,1,50,40,24,4,0,0.19,returning,964.0,100.0
overload,potential,90,1,77,13,11,18,77.36,0.184,returning,3084.7,283.0
optimizer,potential,90,1,85,5,4,12,5.63,0.196,sustainable,2590.8,255.0
low_energy,potential,90,1,41,49,24,14,0,0.195,returning,375.56,41.0
adversarial,potential,90,1,65,25,18,22,67.05,0.18,sustainable,3330.0,300.0
perfect,return,90,1,89,1,1,12,4.87,0.169,sustainable,1780.0,178.0
cautious,return,90,1,64,26,17,11,0,0.188,returning,599.04,64.0
balanced,return,90,1,71,19,11,10,2.09,0.19,returning,1391.6,142.0
chaotic,return,90,1,52,38,21,7,12.01,0.179,sustainable,1616.16,156.0
high_skip,return,90,1,18,72,17,2,0,0.278,returning,169.92,18.0
returning,return,90,1,44,46,20,3,0,0.239,returning,848.32,88.0
overload,return,90,1,80,10,10,19,76.85,0.174,returning,3139.2,288.0
optimizer,return,90,1,85,5,5,11,12.83,0.192,sustainable,2590.8,255.0
low_energy,return,90,1,46,44,24,15,0,0.217,returning,421.36,46.0
adversarial,return,90,1,65,25,21,21,75.64,0.171,returning,3307.8,298.0
perfect,lost,180,1,180,0,0,25,4.06,0.167,integrated,3600.0,360.0
cautious,lost,180,1,109,71,44,21,0,0.193,returning,1020.24,109.0
balanced,lost,180,1,145,35,30,22,2.61,0.186,sustainable,2842.0,290.0
chaotic,lost,180,1,78,102,48,19,6.0,0.179,sustainable,2424.24,234.0
high_skip,lost,180,1,36,144,30,3,0,0.278,returning,339.84,36.0
returning,lost,180,1,99,81,42,9,0.29,0.182,sustainable,1908.72,198.0
overload,lost,180,1,163,17,15,46,74.59,0.174,returning,6332.9,581.0
optimizer,lost,180,1,170,10,9,25,7.83,0.198,integrated,5181.6,510.0
low_energy,lost,180,1,86,94,40,24,0,0.186,returning,787.76,86.0
adversarial,lost,180,1,119,61,44,41,67.69,0.178,sustainable,5994.0,540.0
perfect,burnout,180,1,180,0,0,25,4.06,0.167,sustainable,3600.0,360.0
cautious,burnout,180,1,113,67,42,15,0,0.186,returning,1057.68,113.0
balanced,burnout,180,1,143,37,26,21,0.52,0.189,sustainable,2802.8,286.0
chaotic,burnout,180,1,91,89,40,12,10.0,0.183,sustainable,2828.28,273.0
high_skip,burnout,180,1,43,137,33,3,0,0.279,returning,405.92,43.0
returning,burnout,180,1,103,77,47,17,0.29,0.175,returning,1985.84,206.0
overload,burnout,180,1,166,14,14,48,73.6,0.173,returning,6409.2,588.0
optimizer,burnout,180,1,167,13,12,25,7.83,0.198,integrated,5090.16,501.0
low_energy,burnout,180,1,82,98,43,29,0,0.22,returning,751.12,82.0
adversarial,burnout,180,1,130,50,36,48,68.83,0.173,sustainable,6426.9,579.0
perfect,potential,180,1,179,1,1,25,4.06,0.168,integrated,3580.0,358.0
cautious,potential,180,1,119,61,43,19,0,0.185,returning,1113.84,119.0
balanced,potential,180,1,145,35,26,20,2.09,0.176,sustainable,2842.0,290.0
chaotic,potential,180,1,103,77,54,17,4.0,0.178,integrated,3201.24,309.0
high_skip,potential,180,1,47,133,35,7,0,0.255,returning,443.68,47.0
returning,potential,180,1,101,79,42,14,0,0.183,sustainable,1947.28,202.0
overload,potential,180,1,163,17,16,46,69.3,0.175,sustainable,6278.4,576.0
optimizer,potential,180,1,161,19,16,20,7.83,0.195,integrated,4907.28,483.0
low_energy,potential,180,1,82,98,41,31,0,0.207,returning,751.12,82.0
adversarial,potential,180,1,125,55,36,45,76.61,0.173,returning,6360.3,573.0
perfect,return,180,1,178,2,2,24,4.06,0.169,integrated,3560.0,356.0
cautious,return,180,1,118,62,41,19,0,0.186,returning,1104.48,118.0
balanced,return,180,1,146,34,28,21,1.57,0.178,sustainable,2861.6,292.0
chaotic,return,180,1,76,104,39,12,2.0,0.171,sustainable,2362.08,228.0
high_skip,return,180,1,55,125,46,10,0,0.218,returning,519.2,55.0
returning,return,180,1,100,80,48,16,0,0.2,sustainable,1928.0,200.0
overload,return,180,1,158,22,18,44,68.65,0.186,sustainable,6158.5,565.0
optimizer,return,180,1,166,14,14,25,4.7,0.197,integrated,5059.68,498.0
low_energy,return,180,1,81,99,44,25,0,0.21,returning,741.96,81.0
adversarial,return,180,1,132,48,35,50,68.3,0.174,sustainable,6648.9,599.0
perfect,lost,30,2,30,0,0,4,1.62,0.167,open,600.0,60.0
